dataset,image_id,scheme,feature,n_regions,region_range,region_std,region_cv,mean_abs_pairwise_diff,mean_abs_deviation_from_global,max_abs_deviation_from_global,whole_mean,min_region_mean,max_region_mean,min_region_count,max_region_count
CRC,Datasets_Visium_DH_FF_tissue_hires_image,original,epi_like,4,0.4705931800530314,0.18742808355456575,0.408024401190305,0.2677109907358594,0.16626989607727347,0.28406054239816225,0.4559757379982687,0.17191519560010646,0.6425083756531379,122677,135353
CRC,Datasets_Visium_DH_FF_tissue_hires_image,original,fibroblast,4,0.2592243152041587,0.10917936015853856,0.916806638842737,0.15593062673082858,0.10428378249416356,0.15058427955713732,0.1182017301781886,0.009561694531167212,0.2687860097353259,122677,135353
CRC,Datasets_Visium_DH_FF_tissue_hires_image,original,smooth_myoepi,4,0.2173744428991037,0.09067420514873975,1.454711322185984,0.110060817220193,0.07960800459419745,0.15421810229453697,0.06483036158671322,0.001674020982146485,0.21904846388125018,122677,135353
CRC,Datasets_Visium_DH_FF_tissue_hires_image,original,ECM,4,1.032417244410237,0.4713553006056021,1.1542754714306016,0.65663246253652,0.46874007159966136,0.5309106989486073,0.4079822534595008,-0.09352429200212888,0.9388929524081081,122677,135353
CRC,Datasets_Visium_DH_FF_tissue_hires_image,original,__overall__,4,0.4949022956416327,0.21465923736686154,0.983454458412407,0.29758372430585023,0.20472543869132395,0.27994340579961097,,,,122677,135353
CRC,Datasets_Visium_DH_FF_tissue_hires_image,shifted,epi_like,4,0.5580359955002474,0.21728836227123838,0.45144215327861364,0.3094972209563473,0.18522783368439727,0.3177691585572258,0.4559757379982687,0.13820657944104286,0.6962425749412903,72390,192661
CRC,Datasets_Visium_DH_FF_tissue_hires_image,shifted,fibroblast,4,0.2180049625812676,0.09062615351419649,0.9803893391303656,0.1298887850987111,0.08583069635743287,0.11717948953721609,0.1182017301781886,0.00102224064097251,0.2190272032222401,72390,192661
CRC,Datasets_Visium_DH_FF_tissue_hires_image,shifted,smooth_myoepi,4,0.24947578367369444,0.1063274361985169,1.6202367923893792,0.12562677357694296,0.09164586451752645,0.1848802611531506,0.06483036158671322,0.00023483906616936042,0.2497106227398638,72390,192661
CRC,Datasets_Visium_DH_FF_tissue_hires_image,shifted,ECM,4,0.928819757680845,0.43259863676685867,1.4386922581324746,0.5970685810574218,0.4311929927457101,0.5822305442702,0.4079822534595008,-0.1742482908106992,0.7545714668701459,72390,192661
CRC,Datasets_Visium_DH_FF_tissue_hires_image,shifted,__overall__,4,0.4885841248590136,0.2117101471877026,1.1226901357327081,0.2905203401723558,0.19847434682626666,0.3005148633794481,,,,72390,192661
CRC,Datasets_Visium_DH_FF_tissue_hires_image,rotated,epi_like,4,0.39317971693052167,0.16964912316954514,0.37255275625936557,0.24215829829400012,0.1666475889757394,0.20660738366616233,0.4559757379982687,0.26940340473390934,0.662583121664431,97805,166936
CRC,Datasets_Visium_DH_FF_tissue_hires_image,rotated,fibroblast,4,0.25916093450685107,0.09723410789948883,0.915296034042747,0.13537134660525532,0.08584156579324245,0.14774450071269174,0.1182017301781886,0.006785296384029225,0.2659462308908803,97805,166936
CRC,Datasets_Visium_DH_FF_tissue_hires_image,rotated,smooth_myoepi,4,0.15622209767591066,0.06523296576676545,0.9646712502509995,0.09291733976785266,0.061264960813823675,0.09567268018006762,0.06483036158671322,0.0042809440908701734,0.16050304176678085,97805,166936
CRC,Datasets_Visium_DH_FF_tissue_hires_image,rotated,ECM,4,1.1609657771772957,0.43222829432005827,1.1768317230768384,0.632732466266992,0.3686158108118402,0.6176024015869672,0.4079822534595008,-0.13538112213082767,1.025584655046468,97805,166936
CRC,Datasets_Visium_DH_FF_tissue_hires_image,rotated,__overall__,4,0.49238213157264477,0.19108612278896442,0.8573379409074876,0.27579486273352505,0.17059248159866142,0.2669067415364722,,,,97805,166936
Breast,Datasets_Visium_DH_FF_tissue_hires_image,original,epi_like,4,0.6525517843876091,0.30187394132351525,0.7061800152124845,0.4179455081786736,0.3006423700742059,0.3360335987778018,0.42801458713926666,0.09198098836146487,0.7445327727490739,97993,118828
Breast,Datasets_Visium_DH_FF_tissue_hires_image,original,fibroblast,4,0.5509297957165837,0.2463520951810148,0.8825639864939331,0.34529783478706166,0.2424818543223006,0.30622533660584866,0.2767271546093932,0.03202269549865807,0.5829524912152418,97993,118828
Breast,Datasets_Visium_DH_FF_tissue_hires_image,original,smooth_myoepi,4,0.121244784049922,0.048805985634937835,0.2507063837394014,0.06789651113875385,0.041222374683169784,0.07644721862277304,0.19635275443983957,0.1515551890126906,0.2727999730626126,97993,118828
Breast,Datasets_Visium_DH_FF_tissue_hires_image,original,ECM,4,0.7733637225493732,0.34018840780976395,0.6167251261509713,0.4819288817359137,0.3362114613291838,0.394169510720828,0.5471446494412806,0.1529751387204526,0.9263388612698259,97993,118828
Breast,Datasets_Visium_DH_FF_tissue_hires_image,original,__overall__,4,0.524522521675872,0.23430510748730798,0.6140438778991976,0.3282671839601007,0.23013951510221503,0.2782189161818129,,,,97993,118828
Breast,Datasets_Visium_DH_FF_tissue_hires_image,shifted,epi_like,4,0.5914413538229117,0.2730585929405231,0.5560289759270315,0.37787308927699237,0.2710889570040327,0.3372280341713887,0.42801458713926666,0.17380126748774363,0.7652426213106553,49975,150534
Breast,Datasets_Visium_DH_FF_tissue_hires_image,shifted,fibroblast,4,0.43780380872881997,0.192764736063581,0.8264601928310071,0.27230484119676995,0.18955535743074498,0.24326201413072512,0.2767271546093932,0.033465140478668054,0.471268949207488,49975,150534
Breast,Datasets_Visium_DH_FF_tissue_hires_image,shifted,smooth_myoepi,4,0.15173825879152875,0.06432832349136898,0.34723493776175607,0.09140062644421154,0.06123181027055294,0.07798680500201433,0.19635275443983957,0.12260130065032517,0.2743395594418539,49975,150534
Breast,Datasets_Visium_DH_FF_tissue_hires_image,shifted,ECM,4,0.9903155774935914,0.46247718868054166,1.0529752468784166,0.637587226161158,0.4612230504949413,0.6004692844577638,0.5471446494412806,-0.05332463501648326,0.9369909424771082,49975,150534
Breast,Datasets_Visium_DH_FF_tissue_hires_image,shifted,__overall__,4,0.5428247497092129,0.24815721029400367,0.6956748383495528,0.34479144576978293,0.24577479380006798,0.314736534440473,,,,49975,150534
Breast,Datasets_Visium_DH_FF_tissue_hires_image,rotated,epi_like,4,0.6853672282288478,0.2423890133589418,0.5468445027973254,0.3454338085805709,0.1797291072120164,0.35638052525696506,0.42801458713926666,0.09902788416738398,0.7843951123962317,94459,126631
Breast,Datasets_Visium_DH_FF_tissue_hires_image,rotated,fibroblast,4,0.49205188416309403,0.17519306749080982,0.6635526812498448,0.25261230967848397,0.13699758450657068,0.24858655214487707,0.2767271546093932,0.033261822591176195,0.5253137067542702,94459,126631
Breast,Datasets_Visium_DH_FF_tissue_hires_image,rotated,smooth_myoepi,4,0.11983213665164373,0.045908212727410934,0.23524451732746054,0.061760050291541524,0.03797830269670578,0.07836002988056338,0.19635275443983957,0.11799272455927619,0.23782486121091992,94459,126631
Breast,Datasets_Visium_DH_FF_tissue_hires_image,rotated,ECM,4,0.8915511946002335,0.35696741429385836,0.687083600434963,0.5242052520921333,0.3405322808380834,0.45369916585287795,0.5471446494412806,0.09344548358840263,0.9849966781886361,94459,126631
Breast,Datasets_Visium_DH_FF_tissue_hires_image,rotated,__overall__,4,0.5472006109109547,0.20511442696775523,0.5331813254523985,0.2960028551606824,0.17380931881334405,0.28425656828382084,,,,94459,126631
